FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;AT;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0.007 ,0.004 ,0.013 ,0.058 ,0.033 ,0.033 ,0.036 ,0.025 ,0.022 ,0.009 ,0.007 ,0.007 
A;BE;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.008 ,0.026 ,0.022 ,0.025 ,0.022 ,0.014 ,0.018 ,0.031 ,0.017 ,0.023 ,0.03 
A;BG;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.038 ,0.001 ,0.015 ,0.024 ,0.045 ,0.296 ,0.39 ,0.134 ,0.256 
A;CY;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.004 ,0.044 ,0.034 ,0.029 ,0.023 ,0.012 ,0.007 ,0.009 ,0 
A;CZ;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.034 ,0.248 ,0.218 ,0.239 ,0.409 ,0.47 ,0.519 ,0.504 ,0.626 ,0.101 ,0.132 
A;DE;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.042 ,0.074 ,0.165 ,0.117 ,0.102 ,0.099 ,0.082 ,0.076 ,0.005 ,0.011 ,0.029 
A;DK;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.005 ,0.005 ,0.005 
A;EE;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.003 ,0.003 ,0.008 ,0.014 ,0.029 ,0.04 ,0.047 ,0.163 ,0.142 ,0.016 ,0.038 
A;EL;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.027 ,0.06 ,0.06 ,0.171 ,0.11 ,0.166 ,0.154 ,0.117 ,0.087 ,0.103 
A;ES;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0.011 ,0.011 ,0.039 ,0.036 ,0.051 ,0.048 ,0.042 ,0.026 ,0.023 ,0.026 ,0.03 ,0.02 ,0.017 
A;EU28;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0.019 ,0.032 ,0.058 ,0.05 ,0.047 ,0.045 ,0.045 ,0.071 ,0.05 ,0.047 ,0.053 
A;FI;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.021 ,0.025 ,0.017 ,0.02 ,0.023 ,0.021 ,0.023 ,0.026 ,0.03 ,0.033 ,0.029 
A;FR;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.007 ,0.014 ,0.014 ,0.012 ,0.009 ,0.01 ,0.013 ,0.093 ,0.12 ,0.116 ,0.095 
A;HR;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.036 ,0.201 ,0.031 ,0.198 ,0.334 
A;HU;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0.054 ,0.111 ,0.236 ,0.32 ,0.223 ,0.149 ,0.134 ,0.165 ,0.702 ,0.385 ,0.658 ,0.599 
A;IE;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.004 ,0.004 ,0.01 ,0.024 ,0.011 ,0.024 ,0.209 ,0.018 ,0.02 ,0.02 ,0.016 
A;IT;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.022 ,0.033 ,0.024 ,0.027 ,0.012 ,0.025 ,0.018 ,0.02 ,0.026 
A;LT;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.006 ,0.007 ,0.098 ,0.102 ,0.164 ,0.156 ,0.109 ,0.042 ,0.224 ,0.047 ,0.101 
A;LU;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.013 ,0.003 ,0.056 ,0.012 ,0 ,0 ,0 
A;LV;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.025 ,0.015 ,0.041 ,0.059 ,0.043 ,0.056 ,0.075 ,0.483 ,0.316 ,0.164 ,0.039 
A;MT;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.191 ,0.196 ,0.249 ,0.223 ,0.256 ,0.269 ,0.11 ,0.133 ,0.294 
A;NL;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.005 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.001 ,0 ,0.001 ,0 ,0 
A;PL;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.007 ,0.04 ,0.074 ,0.098 ,0.055 ,0.08 ,0.118 ,0.34 ,0.073 ,0.221 ,0.349 
A;PT;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.006 ,0.02 ,0.022 ,0.025 ,0.033 ,0.039 ,0.032 ,0.173 ,0.266 ,0.189 ,0.261 
A;RO;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.021 ,0.032 ,0.057 ,0.083 ,0.066 ,0.08 ,0.215 ,0.234 ,0.108 ,0.031 
A;SE;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.018 ,0.015 ,0.016 ,0.012 ,0.011 ,0.006 ,0.007 ,0.007 ,0.015 ,0.015 ,0.015 
A;SI;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.015 ,0.195 ,0.245 ,0.233 ,0.345 ,0.253 ,0.131 ,0.178 ,0.073 ,0.054 ,0.048 
A;SK;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.011 ,0.041 ,0.049 ,0.051 ,0.064 ,0.078 ,0.127 ,0.26 ,0.202 ,0.074 
A;UK;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.019 ,0.016 ,0.015 ,0.025 ,0.016 ,0.013 ,0.013 ,0.017 ,0.01 ,0.006 ,0.007 
A;AT;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BE;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BG;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CY;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CZ;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DE;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EE;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
